frequency,strain
5.0,2.6116913970253167e-22
5.1165042,2.0008339039310417e-22
5.2357231,1.5447463910873328e-22
5.3577199,1.2004529696214868e-22
5.4825594,9.381971216308504e-23
5.6103076,7.369330781792331e-23
5.7410326,5.815110650458021e-23
5.8748035,4.608638828621306e-23
6.0116914,3.6680644526391936e-23
6.1517689,2.9322172266377147e-23
6.2951104,2.3549747275155363e-23
6.4417918,1.9012918980781307e-23
6.591891,1.5443559244397887e-23
6.7454877,1.2635176129418276e-23
6.9026632,1.0427660166405782e-23
7.0635012,8.695901784237294e-24
7.2280867,7.341228544807274e-24
7.3965073,6.2849752929808615e-24
7.5688522,5.4637321645816974e-24
7.7452129,4.825953740692169e-24
7.9256829,4.3296379617435836e-24
8.1103581,3.940756448421673e-24
8.2993363,3.632116064200823e-24
8.4927179,3.382395889888646e-24
8.6906054,3.1752294520336827e-24
8.8931039,2.998312403031303e-24
9.1003208,2.8425772387210517e-24
9.312366,2.7014811943647127e-24
9.529352,2.5704303088913047e-24
9.751394,2.446334739719697e-24
9.9786097,2.3272718486386978e-24
10.21112,2.2122625178756845e-24
10.449048,2.1009861428379683e-24
10.692519,1.993565173971166e-24
10.941664,1.890464681897596e-24
11.196614,1.7923117385076797e-24
11.457505,1.6997443494511685e-24
11.724474,1.613296576341292e-24
11.997664,1.533328394594231e-24
12.27722,1.4599973585997692e-24
12.56329,1.393265515987765e-24
12.856025,1.3329301159871858e-24
13.155582,1.2786658796934728e-24
13.462118,1.2300683009335928e-24
13.775797,1.1866926071785116e-24
14.096784,1.1480839827990139e-24
14.425251,1.1137992152451015e-24
14.761372,1.0834200917705192e-24
15.105324,1.0565609020078706e-24
15.457291,1.0328712105322466e-24
15.817459,1.012035585663289e-24
16.18602,9.937719909879299e-25
16.563168,9.778286468749518e-25
16.949103,9.639811501031846e-25
17.344032,9.520296214022853e-25
17.748163,9.417954435563685e-25
18.16171,9.331191518673023e-25
18.584893,9.25858009958526e-25
19.017937,9.198840482738212e-25
19.461071,9.15082640433184e-25
19.91453,9.113508866076241e-25
20.378556,9.085963619111961e-25
20.853394,9.067361401887752e-25
21.339295,9.056957554709677e-25
21.836519,9.054084281970038e-25
22.345328,9.058141450245868e-25
22.865994,9.068591759931232e-25
23.398791,9.084951988024921e-25
23.944002,9.10679007573263e-25
24.501918,9.133719137921356e-25
25.072833,9.165391758706127e-25
25.657052,9.201497812488682e-25
26.254883,9.241758955630458e-25
26.866644,9.285925510464088e-25
27.492659,9.333776211530982e-25
28.133262,9.385110846075327e-25
28.788791,9.439751830346535e-25
29.459594,9.497539816643607e-25
30.146028,9.558333154004878e-25
30.848456,9.622004771066546e-25
31.567251,9.688441644403999e-25
32.302794,9.757543187056018e-25
33.055477,9.829219142546196e-25
33.825698,9.903390715433893e-25
34.613865,9.979987296121141e-25
35.420398,1.0058946124213478e-24
36.245723,1.0140212556589775e-24
37.090279,1.0223738614305273e-24
37.954514,1.0309482225975042e-24
38.838886,1.0397407166517241e-24
39.743865,1.0487481830124036e-24
40.669931,1.0579679260008878e-24
41.617575,1.0673978245457216e-24
42.5873,1.0770359899292842e-24
43.57962,1.0868809001090502e-24
44.595062,1.0969315153129468e-24
45.634165,1.107187023274103e-24
46.69748,1.1176469217403216e-24
47.785571,1.128310980129633e-24
48.899015,1.139179184775863e-24
50.038404,1.1502519861607384e-24
51.204341,1.1615297762239755e-24
52.397446,1.1730133886733405e-24
53.618351,1.1847038438087664e-24
54.867704,1.1966023299000708e-24
56.146168,1.2087101977611027e-24
57.454421,1.2210291189933686e-24
58.793158,1.2335610462926563e-24
60.163089,1.2463078160201955e-24
61.56494,1.2592717768957637e-24
62.999455,1.2724552810176773e-24
64.467396,1.2858610795464806e-24
65.969541,1.299491833356088e-24
67.506687,1.3133507911825673e-24
69.07965,1.3274409863840843e-24
70.689265,1.341765974758328e-24
72.336385,1.3563294245686764e-24
74.021884,1.3711351461238447e-24
75.746657,1.3861873533283846e-24
77.511618,1.4014903974650903e-24
79.317705,1.4170488145520052e-24
81.165874,1.4328673628648947e-24
83.057108,1.448951292921725e-24
84.992409,1.4653059254018365e-24
86.972805,1.4819368034477792e-24
88.999345,1.4988500294101764e-24
91.073105,1.5160516730413504e-24
93.195186,1.5335483201145337e-24
95.366713,1.5513469869159423e-24
97.588838,1.5694547653468186e-24
99.862741,1.5878792233050708e-24
102.18963,1.6066283191138852e-24
104.57073,1.62571053111495e-24
107.00732,1.6451344458616391e-24
109.50068,1.6649093727716195e-24
112.05214,1.6850449197983152e-24
114.66305,1.705551184786327e-24
117.3348,1.7264388178568757e-24
120.0688,1.747718995577336e-24
122.8665,1.769403146805695e-24
125.7294,1.7915038015273274e-24
128.659,1.8140337059374646e-24
131.65686,1.8370062632776533e-24
134.72458,1.860435628466728e-24
137.86377,1.884336642714934e-24
141.07612,1.908724872545341e-24
144.36331,1.9336164778082104e-24
147.7271,1.9590287360752392e-24
151.16927,1.9849795390229338e-24
154.69164,2.011487425375399e-24
158.29608,2.038572288766926e-24
161.98452,2.0662548536310674e-24
165.75889,2.0945565643990274e-24
169.62122,2.12350025582119e-24
173.57354,2.1531096806662543e-24
177.61795,2.183409860871797e-24
181.75659,2.2144266632077577e-24
185.99168,2.246187881342052e-24
190.32544,2.2787219891213663e-24
194.76019,2.312059327771626e-24
199.29826,2.3462316190875067e-24
203.94208,2.3812724156477136e-24
208.69411,2.417217601703044e-24
213.55686,2.4541056164667434e-24
218.53291,2.4919810752844427e-24
223.62491,2.5309038958379065e-24
228.83556,2.57100537691854e-24
234.16763,2.6132755584730804e-24
239.62393,2.6732987638518847e-24
245.20737,2.6977537404607493e-24
250.92091,2.7419344287721245e-24
256.76758,2.7877244850614366e-24
262.75049,2.8349148764199927e-24
268.8728,2.8835221423867522e-24
275.13776,2.9335944694641266e-24
281.5487,2.985188952192717e-24
288.10903,3.0383679778856067e-24
294.82221,3.0931963887819942e-24
301.69182,3.149743144772932e-24
308.7215,3.208079751217077e-24
315.91497,3.268280616551516e-24
323.27606,3.330424192105314e-24
330.80866,3.3945908526788036e-24
338.51679,3.4608656778240036e-24
346.40451,3.529335923849577e-24
354.47603,3.60009332487077e-24
362.73563,3.673232682845937e-24
371.18767,3.748852963899162e-24
379.83666,3.827056815774554e-24
388.68718,3.907951037090091e-24
397.74392,3.991646315174013e-24
407.01169,4.078257983733524e-24
416.49541,4.167905704499458e-24
426.2001,4.260713950788907e-24
436.13093,4.3568119875084396e-24
446.29315,4.456334071171674e-24
456.69216,4.5594223058449086e-24
467.33347,4.666248356881772e-24
478.22274,4.779171203633651e-24
489.36574,4.891524542730722e-24
500.76837,5.0103340313082046e-24
512.4367,5.133498624616211e-24
524.37691,5.261178848310978e-24
536.59534,5.3935535586862546e-24
549.09847,5.530809008910455e-24
561.89293,5.673138895523779e-24
574.98551,5.820744874945363e-24
588.38316,5.973835354693955e-24
602.09299,6.132627870711045e-24
616.12226,6.297347102866732e-24
630.47844,6.468227369855625e-24
645.16912,6.645511200069126e-24
660.20211,6.829451620226315e-24
675.58538,7.020310619256381e-24
691.32709,7.218361392428253e-24
707.4356,7.423905247205176e-24
723.91945,7.637193185668061e-24
740.78739,7.858545842946682e-24
758.04836,8.08830759140799e-24
775.71153,8.326796811468046e-24
793.78627,8.574358498366139e-24
812.28216,8.831352977872022e-24
831.20903,9.098155198492519e-24
850.5769,9.375156894819639e-24
870.39607,9.66276647748538e-24
890.67703,9.961409363532906e-24
911.43057,1.0271530955281795e-23
932.66767,1.0593596094825708e-23
954.39962,1.0929546094904761e-23
976.63794,1.1275518307320264e-23
999.39443,1.1636414995054513e-23
1022.6812,1.201133691683655e-23
1046.5105,1.2400865970828953e-23
1070.8951,1.2805613959458306e-23
1095.8479,1.3226221979549468e-23
1121.382,1.3663362894824102e-23
1147.5112,1.4117745218552775e-23
1174.2492,1.4590113563819967e-23
1201.6102,1.508125201330812e-23
1229.6087,1.559197835153796e-23
1258.2597,1.612317304342846e-23
1287.5782,1.667575109611279e-23
1317.5798,1.725068444900416e-23
1348.2806,1.7849002494244086e-23
1379.6966,1.84717925429182e-23
1411.8448,1.912021362588262e-23
1444.7419,1.9795491296574177e-23
1478.4056,2.0498933434141723e-23
1512.8538,2.1231936598389018e-23
1548.1045,2.199598702676952e-23
1584.1767,2.2792679883406957e-23
1621.0893,2.3623722752937603e-23
1658.8621,2.449095504572622e-23
1697.515,2.5396351043922336e-23
1737.0685,2.6342053989223433e-23
1777.5437,2.7330381950571185e-23
1818.962,2.8363855784178614e-23
1861.3453,2.944522575426024e-23
1904.7163,3.057752535692563e-23
1949.0978,3.17640179650212e-23
1994.5134,3.300842181383242e-23
2040.9873,3.431479629250983e-23
2088.544,3.568769464359152e-23
2137.2088,3.713224340955478e-23
2187.0076,3.865424243755613e-23
2237.9668,4.0260321794339043e-23
2290.1133,4.195846959653243e-23
2343.4749,4.375863358820061e-23
2398.0798,4.566975328629807e-23
2453.9571,4.7704195123434477e-23
2511.1364,4.9876834907508584e-23
2569.648,5.220582103491114e-23
2629.523,5.471364151189589e-23
2690.7931,5.742862466376623e-23
2753.4909,6.038717772956061e-23
2817.6496,6.363703983495509e-23
2883.3032,6.724234048441516e-23
2950.4866,7.129150184088216e-23
3019.2354,7.591017174059501e-23
3089.5862,8.128312996371571e-23
3161.5762,8.769295227676457e-23
3235.2436,9.559207958688381e-23
3310.6275,1.0574439400166389e-22
3387.7679,1.1952025382339264e-22
3466.7058,1.3953655066985058e-22
3547.483,1.7094118244707085e-22
3630.1424,2.215981429682512e-22
3714.7277,2.740047312258808e-22
3801.2841,2.34682839853853e-22
3889.8572,1.6313686851919533e-22
3980.4942,1.2373681411193113e-22
4073.2431,1.0616140400575684e-22
4168.1531,9.960775307073907e-23
4265.2746,9.86057169648519e-23
4364.6591,1.005242034976831e-22
4466.3594,1.0409016210570293e-22
4570.4294,1.086767367461306e-22
4676.9242,1.1397083881447139e-22
4785.9005,1.1981736530315432e-22
4897.4161,1.2614476509949178e-22
