frequency,strain
1.0000007518648013e-10,9.999999999999997e-06
1.4355867883280815e-10,9.999999999999997e-06
2.0609078772980442e-10,9.999999999999997e-06
4.5137106296740377e-10,9.999999999999997e-06
9.385256298833293e-10,9.999999999999997e-06
1.3436441298446182e-09,9.999999999999997e-06
1.9236337188685265e-09,9.999999999999997e-06
1.9710052962790016e-09,9.999999999999997e-06
2.0195434504261735e-09,9.999999999999997e-06
2.0442589439127764e-09,9.999999999999997e-06
2.0692769095339394e-09,9.999999999999997e-06
2.0946010489916827e-09,9.999999999999997e-06
2.1202351092900516e-09,3.623401118073329e-16
2.1461828832895084e-09,3.6677448764184116e-16
2.1724482102681417e-09,3.7126313207207177e-16
2.2259471157788454e-09,3.804058914384182e-16
2.336929777520417e-09,3.993724059951843e-16
2.3655294952847298e-09,4.0425998892736634e-16
2.3944792209372064e-09,4.0920738687570965e-16
2.453445882136679e-09,4.192845648821993e-16
2.5757713194789467e-09,4.401895166251797e-16
2.8390232150192836e-09,4.85178263790825e-16
2.8737676320132915e-09,4.911159524382434e-16
2.9089372567005286e-09,4.971263074623419e-16
2.9805730078762036e-09,5.093685847346447e-16
3.129180278724782e-09,5.34765001810622e-16
3.4489923030423674e-09,5.894196597496469e-16
4.190014313202697e-09,7.160575013912274e-16
4.2378508646096095e-09,7.242325859888295e-16
4.286233556310895e-09,7.325010038844533e-16
4.384662372478357e-09,7.493221140051718e-16
4.588352851217915e-09,7.841320416953577e-16
5.024560851962186e-09,8.586783290709384e-16
6.0253282848033e-09,1.0297056750100431e-15
8.664548191459666e-09,1.4807383137357612e-15
1.904115191961993e-08,3.2540604036151852e-15
4.124813668187165e-08,7.049149592734554e-15
8.483063952683059e-08,1.4497233479513283e-14
1.8540354290038183e-07,3.1684759944615015e-14
3.8469860039456817e-07,6.574352687036041e-14
3.890239428598845e-07,6.648271143796822e-14
3.933979171305241e-07,6.72302069960418e-14
4.022939543941726e-07,6.87505059113031e-14
4.2069408512562334e-07,7.189501823321043e-14
4.6005759594176105e-07,7.862209243727089e-14
5.501787408808602e-07,9.402345315918287e-14
5.563646523164762e-07,9.508060188358142e-14
5.6262011478605e-07,9.614963661501312e-14
5.753428295958345e-07,9.832390016082042e-14
6.01657874016297e-07,1.0282104111266402e-13
6.579538074958058e-07,1.1244180191503296e-13
7.868410402501757e-07,1.3446813952359777e-13
7.964444543436954e-07,1.361093264472233e-13
8.06165078340531e-07,1.3777054409729316e-13
8.259636957029558e-07,1.4115405246261486e-13
8.670315752751962e-07,1.4817239680126618e-13
8.776137168051767e-07,1.499808445193207e-13
8.883250136307125e-07,1.5181136438589585e-13
9.101413977818953e-07,1.555397014169802e-13
9.21249695747359e-07,1.5743806726761626e-13
9.324935707605103e-07,1.5935960271977491e-13
9.553946910104872e-07,1.632733170222743e-13
9.67055306523891e-07,1.6526607184005636e-13
9.788582401341306e-07,1.6728314827900908e-13
9.908052288370496e-07,1.6932484318511162e-13
9.99861063379195e-07,1.7087245084717308e-13
