frequency,strain
4.388941e-03,8.759458e-18
4.532357e-03,7.128033e-18
4.680459e-03,5.994649e-18
4.833400e-03,4.410132e-18
4.991340e-03,5.196279e-18
5.154440e-03,5.658788e-18
5.322869e-03,5.467708e-18
5.496803e-03,4.457577e-18
5.676420e-03,3.843716e-18
5.861906e-03,3.289039e-18
6.053453e-03,2.500977e-18
6.251259e-03,2.670430e-18
6.455529e-03,2.768251e-18
6.666474e-03,2.979007e-18
6.884312e-03,3.149541e-18
7.109268e-03,2.416385e-18
7.341575e-03,1.880271e-18
7.581473e-03,1.911254e-18
7.829209e-03,1.906581e-18
8.085042e-03,1.803024e-18
8.349233e-03,1.448909e-18
8.622058e-03,1.193993e-18
8.903798e-03,1.258102e-18
9.194744e-03,1.412207e-18
9.495197e-03,1.359412e-18
9.805468e-03,1.014652e-18
1.012588e-02,9.501172e-19
1.045676e-02,9.011550e-19
1.079845e-02,8.225186e-19
1.115130e-02,6.935991e-19
1.151569e-02,7.548711e-19
1.189199e-02,7.293035e-19
1.228058e-02,6.139025e-19
1.268186e-02,5.488149e-19
1.309626e-02,4.806340e-19
1.352420e-02,4.819327e-19
1.396613e-02,4.686771e-19
1.442250e-02,4.436397e-19
1.489377e-02,3.721396e-19
1.538045e-02,3.238372e-19
1.588303e-02,3.288006e-19
1.640204e-02,3.189278e-19
1.693800e-02,2.897959e-19
1.749148e-02,2.646483e-19
1.806304e-02,2.446897e-19
1.865328e-02,2.318931e-19
1.926280e-02,2.181462e-19
1.989225e-02,1.899090e-19
2.054226e-02,1.861366e-19
2.121351e-02,1.731257e-19
2.190670e-02,1.514775e-19
2.262253e-02,1.451786e-19
2.336176e-02,1.335489e-19
2.412514e-02,1.278753e-19
2.491347e-02,1.123868e-19
2.572756e-02,1.059425e-19
2.656825e-02,1.001444e-19
2.743641e-02,9.250673e-20
2.833294e-02,8.588196e-20
2.925876e-02,7.789607e-20
3.021484e-02,7.204489e-20
3.120216e-02,6.946686e-20
3.222174e-02,6.358721e-20
3.327464e-02,5.837915e-20
3.436194e-02,5.293505e-20
3.548477e-02,4.961908e-20
3.664429e-02,4.573086e-20
3.784170e-02,4.196644e-20
3.907824e-02,3.949150e-20
4.035519e-02,3.751192e-20
4.167386e-02,3.344348e-20
4.303562e-02,3.125166e-20
4.444188e-02,2.814522e-20
4.589409e-02,2.587727e-20
4.739375e-02,2.357553e-20
4.894242e-02,2.174247e-20
5.054169e-02,2.031594e-20
5.219322e-02,1.875416e-20
5.389872e-02,1.738338e-20
5.565995e-02,1.551981e-20
5.747873e-02,1.431491e-20
5.935694e-02,1.342068e-20
6.129652e-02,1.228436e-20
6.329948e-02,1.137029e-20
6.536790e-02,1.030673e-20
6.750390e-02,9.674924e-21
6.970970e-02,8.692234e-21
7.198757e-02,8.157018e-21
7.433988e-02,7.634693e-21
7.676906e-02,6.977809e-21
7.927761e-02,6.313094e-21
8.186814e-02,5.710167e-21
8.454331e-02,5.268576e-21
8.730590e-02,4.839092e-21
9.015876e-02,4.517221e-21
9.310484e-02,4.161154e-21
9.614720e-02,3.712968e-21
9.928896e-02,3.451466e-21
1.025334e-01,3.369452e-21
1.058838e-01,3.214170e-21
1.093438e-01,2.974484e-21
1.129167e-01,2.781159e-21
1.166065e-01,2.599480e-21
1.204168e-01,2.483005e-21
1.243516e-01,2.237846e-21
1.284150e-01,2.135784e-21
1.326112e-01,1.965319e-21
1.369444e-01,1.832933e-21
1.414193e-01,1.726456e-21
1.460404e-01,1.612672e-21
1.508125e-01,1.522222e-21
1.557406e-01,1.425275e-21
1.608296e-01,1.339117e-21
1.660850e-01,1.266201e-21
1.715121e-01,1.167774e-21
1.771165e-01,1.099377e-21
1.829041e-01,1.037338e-21
1.888808e-01,9.787092e-22
1.950528e-01,9.206510e-22
2.014264e-01,8.739717e-22
2.080084e-01,8.256762e-22
2.148054e-01,7.868834e-22
2.218245e-01,7.439766e-22
2.290730e-01,7.151435e-22
2.365583e-01,6.838844e-22
2.442882e-01,6.467304e-22
2.522707e-01,6.193595e-22
2.605141e-01,5.920336e-22
2.690268e-01,5.689684e-22
2.778177e-01,5.531454e-22
2.868958e-01,5.346794e-22
2.962706e-01,5.178654e-22
3.059518e-01,5.044490e-22
3.159492e-01,4.895282e-22
3.262734e-01,4.814406e-22
3.369349e-01,4.783470e-22
3.479448e-01,4.731389e-22
3.593144e-01,4.668550e-22
3.710556e-01,4.628640e-22
3.831804e-01,4.632239e-22
3.957015e-01,4.666055e-22
4.086317e-01,4.721381e-22
4.219844e-01,4.741916e-22
4.357734e-01,4.791873e-22
4.500130e-01,4.867439e-22
4.647179e-01,5.004007e-22
4.799033e-01,5.109456e-22
4.955849e-01,5.231309e-22
5.117790e-01,5.338012e-22
5.285022e-01,5.439120e-22
5.457718e-01,5.603920e-22
5.636058e-01,5.809941e-22
5.820225e-01,5.969664e-22
6.010411e-01,6.116811e-22
6.206810e-01,6.276317e-22
6.409628e-01,6.500010e-22
6.619073e-01,6.675093e-22
6.835362e-01,6.884129e-22
7.058718e-01,7.099354e-22
7.289373e-01,7.326698e-22
7.527565e-01,7.535898e-22
7.773541e-01,7.759631e-22
8.027554e-01,8.001060e-22
8.289867e-01,8.287196e-22
8.560752e-01,8.540239e-22
8.840488e-01,8.839252e-22
9.129365e-01,9.095914e-22
9.427682e-01,9.372796e-22
9.735747e-01,9.692645e-22
1.005388e+00,1.003026e-21
1.038240e+00,1.035499e-21
1.072167e+00,1.064670e-21
1.107201e+00,1.098532e-21
1.143381e+00,1.131895e-21
1.180743e+00,1.172830e-21
1.219326e+00,1.211874e-21
1.259169e+00,1.253809e-21
1.300314e+00,1.292771e-21
1.342804e+00,1.330879e-21
1.386683e+00,1.370904e-21
1.431995e+00,1.418717e-21
1.478787e+00,1.464742e-21
1.527109e+00,1.512466e-21
1.577010e+00,1.559205e-21
1.628541e+00,1.611339e-21
1.681756e+00,1.664098e-21
1.736711e+00,1.717604e-21
1.793460e+00,1.766818e-21
1.852065e+00,1.825552e-21
1.912584e+00,1.887912e-21
1.975081e+00,1.953520e-21
2.039619e+00,2.014952e-21
2.106267e+00,2.082550e-21
2.175093e+00,2.142511e-21
2.246168e+00,2.216499e-21
2.319565e+00,2.288293e-21
2.395360e+00,2.365400e-21
2.473633e+00,2.441715e-21
2.554463e+00,2.524375e-21
2.637934e+00,2.607249e-21
2.724133e+00,2.693130e-21
2.813148e+00,2.767873e-21
2.905072e+00,2.864642e-21
3.000000e+00,2.901422e-21
