frequency,strain
1.0000007518648013e-10,9.999999999999997e-06
1.4355867883280815e-10,9.999999999999997e-06
2.0609078772980442e-10,9.999999999999997e-06
4.5137106296740377e-10,9.999999999999997e-06
6.508635119459306e-10,9.999999999999997e-06
9.385256298833293e-10,9.999999999999997e-06
1.1229623561373118e-09,9.999999999999997e-06
1.3436441298446182e-09,9.999999999999997e-06
1.4052837501178671e-09,9.999999999999997e-06
1.4697510854854913e-09,9.999999999999997e-06
1.5030854549209752e-09,9.999999999999997e-06
1.5371758572634154e-09,9.999999999999997e-06
1.5545099141356537e-09,9.999999999999997e-06
1.572039439552521e-09,9.999999999999997e-06
1.5897666377269223e-09,1.3829034447729121e-17
1.6076937377277017e-09,1.3984978394202385e-17
1.6258229937599461e-09,1.414268085205499e-17
1.6441566854484221e-09,1.4302161651247362e-17
1.6814466231146051e-09,1.4626538714082554e-17
1.758582919144497e-09,1.5297530587765865e-17
1.9236337188685265e-09,1.6733271620973352e-17
1.9471754538281146e-09,1.6938056056619167e-17
1.9710052962790016e-09,1.7145346676712038e-17
2.0195434504261735e-09,1.756756952992908e-17
2.1202351092900516e-09,1.8443464385175664e-17
2.336929777520417e-09,2.032844420578729e-17
2.8390232150192836e-09,2.469604588918811e-17
4.190014313202697e-09,3.644802381600332e-17
8.664548191459666e-09,7.537102148842989e-17
1.904115191961993e-08,1.6563484197741649e-16
4.124813668187165e-08,3.588085757629447e-16
8.483063952683059e-08,7.379232954069214e-16
1.8540354290038183e-07,1.612785122454447e-15
3.8469860039456817e-07,3.3464095110565036e-15
3.890239428598845e-07,3.384034725054327e-15
3.933979171305241e-07,3.4220829765565875e-15
4.022939543941726e-07,3.4994676711701305e-15
4.2069408512562334e-07,3.659526409156838e-15
4.6005759594176105e-07,4.001941034134932e-15
5.501787408808602e-07,4.785885286238224e-15
5.563646523164762e-07,4.839695185316265e-15
5.6262011478605e-07,4.8941100937218625e-15
5.753428295958345e-07,5.0047822245855085e-15
6.01657874016297e-07,5.233691076456001e-15
6.579538074958058e-07,5.723397165941165e-15
7.868410402501757e-07,6.844559190187165e-15
7.964444543436954e-07,6.9280972020962334e-15
8.06165078340531e-07,7.0126547974788045e-15
8.259636957029558e-07,7.184878666709008e-15
8.670315752751962e-07,7.542119225053936e-15
8.776137168051767e-07,7.63417097420755e-15
8.883250136307125e-07,7.727346217205454e-15
9.101413977818953e-07,7.917122201171892e-15
9.21249695747359e-07,8.013750870798309e-15
9.324935707605103e-07,8.111558895695053e-15
9.553946910104872e-07,8.310770763218824e-15
9.67055306523891e-07,8.41220392314922e-15
9.788582401341306e-07,8.514875077271322e-15
9.908052288370496e-07,8.618799335334505e-15
9.99861063379195e-07,8.69757407174192e-15
