frequency,strain
0.09999999999999999,6.730580460345303e-20
0.10703984420879943,6.432140783734996e-20
0.11457528248244053,6.146934176857682e-20
0.12264120387099622,5.874373874117887e-20
0.1312749535593104,5.613899127607015e-20
0.1405165057750597,5.364974053456729e-20
0.15040864886927255,5.1270865293464864e-20
0.1609971834262295,4.899747140896069e-20
0.17233113431999109,4.682488174776225e-20
0.18446297769937536,4.474862656465415e-20
0.19744888395232382,4.2764434306736223e-20
0.21134897777458062,4.086822282540578e-20
0.22622761654680124,3.905609097800991e-20
0.2421536883089762,3.732431060188764e-20
0.2592009307117899,3.566931884428839e-20
0.27744827242165804,3.4087710832391416e-20
0.2969801985601482,3.257623266833977e-20
0.31788714186976585,3.113177473488228e-20
0.3402659014172026,2.975136529784741e-20
0.36422009077264067,2.843216439229145e-20
0.3898606177401824,2.717145797973766e-20
0.41730619786055434,2.5966652364489734e-20
0.4466839040636017,2.481526885752947e-20
0.4781297550154624,2.371493867702391e-20
0.5117893448844654,2.2663398074946153e-20
0.5478185174415668,2.1658483679787223e-20
0.5863840876164078,2.069812804577498e-20
0.6276646138497929,1.9780355399446212e-20
0.671851224818581,1.890327757481757e-20
0.71914850436072,1.806509012879542e-20
0.7697754386976257,1.726406862883162e-20
0.8239664303395409,1.6498565105187194e-20
0.8819723833682505,1.576700466050698e-20
0.9440618651220105,1.5067882229727288e-20
1.0105223496612863,1.4399759483652795e-20
1.0816615487725403,1.376126186983078e-20
1.1578088366726142,1.3151075784636674e-20
1.2393167750100795,1.2567945870750575e-20
1.3265627452243058,1.2010672434466661e-20
1.41995069582007,1.147810897752068e-20
1.5199130126475664,1.0969159838359301e-20
1.626912520847225,1.0482777937996612e-20
1.7414446277283213,1.0017962625821842e-20
1.8640396165029025,9.573757620925274e-21
1.9952651014950094,9.149249044708384e-21
2.1357286561928017,8.743563540728858e-21
2.2860806263114606,8.355866477913794e-21
2.447017140891334,7.985360233443526e-21
2.6192833353727023,7.631282551774532e-21
2.8036768015699844,7.292904976423975e-21
3.001051280518762,6.969531351290705e-21
3.0178563527418705,6.943633841012432e-21
3.0517493356669303,6.892127154188315e-21
3.086022964374058,6.8410025351472e-21
3.1206815138251756,6.790257149775645e-21
3.1557293069935053,6.739888184983327e-21
3.2270101596724934,6.640268368954891e-21
3.3744384571492305,6.445424305166373e-21
3.412336147311293,6.39761325136715e-21
3.4506594593769284,6.350156851777979e-21
3.5286021232245885,6.256297511687502e-21
3.6898088680935284,6.072720227801496e-21
4.03465336705637,5.721567614344598e-21
4.079965807972895,5.679126005526648e-21
4.125787144478464,5.636999221295367e-21
4.218979429690853,5.553680802656121e-21
4.411726562061772,5.39072026003217e-21
4.824040503038698,5.079004021391838e-21
5.767872641791862,4.5086038631511325e-21
5.838196670281315,4.47232517787077e-21
5.90937811523783,4.436338410675389e-21
6.054355197760268,4.365231253711967e-21
6.355066960920165,4.2264178616628094e-21
7.002040195054024,3.961893411699705e-21
8.500285969892854,3.481476723639021e-21
12.52712500037282,2.6883444509957182e-21
25.830002564075215,1.659470567679725e-21
56.59973124573957,9.836553106903143e-22
117.74475716971382,6.036123748315064e-22
119.07343321221592,5.991137263976914e-22
120.41710253398034,5.946486058347045e-22
123.15009968366444,5.858179506672007e-22
128.80358681479754,5.685481041035944e-22
140.9010844741413,5.355207417177642e-22
168.61146163283865,4.751103137837413e-22
170.51413666438935,4.715693753303353e-22
172.43828219527995,4.680548270536286e-22
176.3519566137716,4.611041157652493e-22
184.44779672942803,4.475108188714864e-22
201.77151297355516,4.2151459818273797e-22
241.45300119804304,3.7396484842892067e-22
244.40983005153078,3.709426250417614e-22
247.40286817483704,3.6794482596678087e-22
253.4993513331067,3.6202171280131953e-22
266.14670684336375,3.5045999935609335e-22
269.40593434581973,3.4762773207009704e-22
272.7050742861892,3.4481835395260515e-22
279.42505253391744,3.3926752679632443e-22
282.84688640477475,3.365257122693839e-22
286.31062398803596,3.33806055910572e-22
289.81677843576443,3.3110837864708964e-22
293.3658691840747,3.284325028533202e-22
296.95842203008596,3.257782523391433e-22
299.8641144614897,3.2367030463865374e-22
