frequency,strain
10.847837,8.71712859e-21
21.695675,7.41222443e-21
32.543512,6.58869661e-21
43.391349,5.97904040e-21
54.239187,5.53699117e-21
65.087024,5.23077700e-21
75.934861,5.03141245e-21
86.782699,4.91929144e-21
97.630536,4.87951908e-21
108.47837,4.89985771e-21
119.32621,4.96950603e-21
130.17405,5.07855326e-21
141.02189,5.21756263e-21
151.86972,5.37732718e-21
162.71756,5.54875483e-21
173.5654,5.72271045e-21
184.41323,5.89001580e-21
195.26107,6.04126282e-21
206.10891,6.16691419e-21
216.95675,6.25718841e-21
227.80458,6.30213162e-21
238.65242,6.29148831e-21
249.50026,6.14865826e-21
260.3481,5.71749652e-21
271.19593,4.96656152e-21
282.04377,4.00283216e-21
292.89161,3.01961161e-21
303.73945,2.17324591e-21
314.58728,1.52292681e-21
325.43512,1.05575736e-21
336.28296,7.31537176e-22
347.1308,5.09604793e-22
357.97863,3.57954158e-22
368.82647,2.53820656e-22
379.67431,1.81730551e-22
390.52214,1.31343029e-22
401.36998,9.57702464e-23
412.21782,7.04088642e-23
423.06566,5.21575284e-23
433.91349,3.89073987e-23
