frequency,strain
3.0017895759507795e-10,4.000000000000001e-16
3.0128410662600217e-10,4.000000000000001e-16
3.049974064240406e-10,4.000000000000001e-16
3.710350435469956e-10,4.000000000000001e-16
4.5137106296740377e-10,4.000000000000001e-16
6.508635119459306e-10,4.000000000000001e-16
9.385256298833293e-10,4.000000000000001e-16
1.9236337188685265e-09,4.000000000000001e-16
4.190014313202697e-09,4.000000000000001e-16
8.664548191459666e-09,4.000000000000001e-16
1.904115191961993e-08,4.000000000000001e-16
4.124813668187165e-08,4.000000000000001e-16
8.483063952683059e-08,4.000000000000001e-16
1.2541092900851818e-07,4.000000000000001e-16
1.8540354290038183e-07,4.000000000000001e-16
2.2251980630099683e-07,4.000000000000001e-16
2.670664401641868e-07,4.000000000000001e-16
2.7953228760482515e-07,4.000000000000001e-16
2.925800028095969e-07,4.000000000000001e-16
2.959360038296304e-07,4.000000000000001e-16
2.993304994246125e-07,4.000000000000001e-16
2.9984302114782707e-07,4.000000000000001e-16
